科目代码,科目名称,借贷,类别,辅助核算,匹配方法,匹配方法说明,辅助核算是否必要,名称是否允许字面不一致,资产负债表,利润表,报表归属说明,是否直接影响利润表,是否直接影响资产负债表
1001,库存现金,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1002,银行存款,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1012,其他货币资金,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1101,短期投资,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1121,应收票据,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1122,应收账款,借,资产,客户,智能语义匹配（大模型）,有辅助核算，需要大模型匹配并处理辅助核算映射,是,是,是,否,资产类科目，用于资产负债表,否,是
1123,预付账款,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1131,应收股利,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1132,应收利息,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1221,其他应收款,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1401,材料采购,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1402,在途物资,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1403,原材料,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1404,材料成本差异,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1405,库存商品,借,资产,存货,智能语义匹配（大模型）,有辅助核算，需要大模型匹配并处理辅助核算映射,是,是,是,否,资产类科目，用于资产负债表,否,是
1407,商品进销差价,贷,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1408,委托加工物资,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1411,周转材料,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1412,包装物,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1413,低值易耗品,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1421,消耗性生物资产,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1501,长期债券投资,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
150101,债券投资,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
